station_id,station_name,lat,lon,elev_m,year,annual_rainfall_mm
016005,CARRIEWERLOO STN,-32.4,137.23,175.0,1882,165.3
016005,CARRIEWERLOO STN,-32.4,137.23,175.0,1883,115.4
016005,CARRIEWERLOO STN,-32.4,137.23,175.0,1884,219.6
016005,CARRIEWERLOO STN,-32.4,137.23,175.0,1885,191.7
016005,CARRIEWERLOO STN,-32.4,137.23,175.0,1886,141.6
016005,CARRIEWERLOO STN,-32.4,137.23,175.0,1887,218.2
016005,CARRIEWERLOO STN,-32.4,137.23,175.0,1888,128.6
016005,CARRIEWERLOO STN,-32.4,137.23,175.0,1889,318.5
016005,CARRIEWERLOO STN,-32.4,137.23,175.0,1890,249.6
016005,CARRIEWERLOO STN,-32.4,137.23,175.0,1891,156.5
016005,CARRIEWERLOO STN,-32.4,137.23,175.0,1892,301.6
016005,CARRIEWERLOO STN,-32.4,137.23,175.0,1893,274.2
016005,CARRIEWERLOO STN,-32.4,137.23,175.0,1894,145.0
016005,CARRIEWERLOO STN,-32.4,137.23,175.0,1895,177.0
016005,CARRIEWERLOO STN,-32.4,137.23,175.0,1896,132.8
016005,CARRIEWERLOO STN,-32.4,137.23,175.0,1897,106.5
016005,CARRIEWERLOO STN,-32.4,137.23,175.0,1898,170.6
016005,CARRIEWERLOO STN,-32.4,137.23,175.0,1899,108.0
016005,CARRIEWERLOO STN,-32.4,137.23,175.0,1900,175.8
016005,CARRIEWERLOO STN,-32.4,137.23,175.0,1901,143.3
016005,CARRIEWERLOO STN,-32.4,137.23,175.0,1902,94.2
016005,CARRIEWERLOO STN,-32.4,137.23,175.0,1903,225.3
016005,CARRIEWERLOO STN,-32.4,137.23,175.0,1904,236.1
016005,CARRIEWERLOO STN,-32.4,137.23,175.0,1905,159.2
016005,CARRIEWERLOO STN,-32.4,137.23,175.0,1906,194.9
016005,CARRIEWERLOO STN,-32.4,137.23,175.0,1907,207.6
016005,CARRIEWERLOO STN,-32.4,137.23,175.0,1908,329.7
016005,CARRIEWERLOO STN,-32.4,137.23,175.0,1909,232.9
016005,CARRIEWERLOO STN,-32.4,137.23,175.0,1910,385.0
016005,CARRIEWERLOO STN,-32.4,137.23,175.0,1911,144.4
016005,CARRIEWERLOO STN,-32.4,137.23,175.0,1912,272.5
016005,CARRIEWERLOO STN,-32.4,137.23,175.0,1913,138.4
016005,CARRIEWERLOO STN,-32.4,137.23,175.0,1914,129.1
